Process,Image Path,Max Temp,Min Temp,X_0,Y_0,Z_0,Vis_0,Pres_0,X_1,Y_1,Z_1,Vis_1,Pres_1,X_2,Y_2,Z_2,Vis_2,Pres_2,X_3,Y_3,Z_3,Vis_3,Pres_3,X_4,Y_4,Z_4,Vis_4,Pres_4,X_5,Y_5,Z_5,Vis_5,Pres_5,X_6,Y_6,Z_6,Vis_6,Pres_6,X_7,Y_7,Z_7,Vis_7,Pres_7,X_8,Y_8,Z_8,Vis_8,Pres_8,X_9,Y_9,Z_9,Vis_9,Pres_9,X_10,Y_10,Z_10,Vis_10,Pres_10,X_11,Y_11,Z_11,Vis_11,Pres_11,X_12,Y_12,Z_12,Vis_12,Pres_12,X_13,Y_13,Z_13,Vis_13,Pres_13,X_14,Y_14,Z_14,Vis_14,Pres_14,X_15,Y_15,Z_15,Vis_15,Pres_15,X_16,Y_16,Z_16,Vis_16,Pres_16,X_17,Y_17,Z_17,Vis_17,Pres_17,X_18,Y_18,Z_18,Vis_18,Pres_18,X_19,Y_19,Z_19,Vis_19,Pres_19,X_20,Y_20,Z_20,Vis_20,Pres_20,X_21,Y_21,Z_21,Vis_21,Pres_21,X_22,Y_22,Z_22,Vis_22,Pres_22,X_23,Y_23,Z_23,Vis_23,Pres_23,X_24,Y_24,Z_24,Vis_24,Pres_24,X_25,Y_25,Z_25,Vis_25,Pres_25,X_26,Y_26,Z_26,Vis_26,Pres_26,X_27,Y_27,Z_27,Vis_27,Pres_27,X_28,Y_28,Z_28,Vis_28,Pres_28,X_29,Y_29,Z_29,Vis_29,Pres_29,X_30,Y_30,Z_30,Vis_30,Pres_30,X_31,Y_31,Z_31,Vis_31,Pres_31,X_32,Y_32,Z_32,Vis_32,Pres_32,torso_x,torso_y,left_hand_x,left_hand_y,right_hand_x,right_hand_y,left_foot_x,left_foot_y,right_foot_x,right_foot_y,torso_updated_x,torso_updated_y,torso_temp,left_hand_temp,right_hand_temp,left_foot_temp,right_foot_temp,torso_updated_temp
False,/data/uabcvmsc/shared/newborn/49/27.11.24-28.11.24/HM20241127175844.jpeg,42.4,33.0
True,/data/uabcvmsc/shared/newborn/49/27.11.24-28.11.24/HM20241127175945.jpeg,43.1,33.7,843,1190,-0.08586789667606354,0.9999728202819824,0.9999970197677612,811,1147,-0.05040369927883148,0.9999088048934937,0.9999899864196777,817,1116,-0.050650760531425476,0.9998643398284912,0.9999892711639404,821,1100,-0.05063740164041519,0.9999018907546997,0.9999825954437256,813,1218,-0.054942626506090164,0.9999638795852661,0.9999890327453613,820,1264,-0.05530647933483124,0.9999594688415527,0.9999899864196777,822,1278,-0.0554371252655983,0.999968409538269,0.9999849796295166,874,1065,0.10402444750070572,0.9998821020126343,0.9999836683273315,854,1314,0.08551695942878723,0.9999194145202637,0.9999816417694092,906,1142,-0.028030646964907646,0.9998553991317749,0.9999842643737793,903,1241,-0.03605768457055092,0.9998716115951538,0.9999737739562988,1170,865,0.12855862081050873,0.9998854398727417,0.9999384880065918,1204,1544,0.08873381465673447,0.999886155128479,0.9999305009841919,1371,608,-0.09204084426164627,0.577448308467865,0.9994433522224426,1600,1608,-0.05993451550602913,0.6466583013534546,0.9994183778762817,1361,370,-0.431871235370636,0.263590544462204,0.9986240863800049,1872,1700,-0.2724003195762634,0.43795812129974365,0.9992945194244385,1367,285,-0.4995573163032532,0.316070556640625,0.994717538356781,1960,1755,-0.32444918155670166,0.4391140341758728,0.9976785778999329,1323,324,-0.5197981595993042,0.3569011688232422,0.996541440486908,1940,1723,-0.35690808296203613,0.4530722498893738,0.9982520937919617,1334,371,-0.45158645510673523,0.35555601119995117,0.9981877207756042,1914,1684,-0.293874591588974,0.4483526349067688,0.999221920967102,1903,1004,0.008975743316113949,0.99986732006073,0.9999873638153076,1904,1361,-0.00942329689860344,0.9998599290847778,0.9999871253967285,2378,957,-0.16770100593566895,0.3792842626571655,0.9998548030853271,2371,1496,-0.2367447018623352,0.33967381715774536,0.9998719692230225,2993,983,-0.09028517454862595,0.32418978214263916,0.9987785220146179,2947,1377,-0.10388331860303879,0.2403550148010254,0.997960090637207,3100,1025,-0.09229594469070435,0.3401064872741699,0.9958375692367554,3042,1324,-0.096333809196949,0.2064722180366516,0.9965695142745972,3138,914,-0.2521798312664032,0.315091609954834,0.9882975220680237,3133,1418,-0.24098244309425354,0.1927410364151001,0.9845978021621704,1187,1204,None,None,None,None,None,None,None,None,180,231,42.62,nan,nan,nan,nan,42.62
True,/data/uabcvmsc/shared/newborn/49/27.11.24-28.11.24/HM20241127180047.jpeg,42.8,33.5,883,1145,0.09100314229726791,0.9996777772903442,0.9999696016311646,865,1110,0.12689298391342163,0.999049961566925,0.9999264478683472,868,1098,0.12662965059280396,0.9986832737922668,0.9999310970306396,873,1071,0.1266683042049408,0.9992222785949707,0.9999088048934937,859,1191,0.11699262261390686,0.9995507597923279,0.9999053478240967,863,1206,0.11664674431085587,0.9995036125183105,0.9999136924743652,855,1255,0.11653301864862442,0.9996398687362671,0.999882698059082,893,1057,0.27015256881713867,0.9992703795433044,0.9999432563781738,886,1270,0.22546863555908203,0.9991433620452881,0.999869704246521,934,1119,0.1448674499988556,0.9993525147438049,0.9999396800994873,931,1193,0.1291305124759674,0.9992778897285461,0.9998865127563477,1193,883,0.2730780243873596,0.999887228012085,0.9999269247055054,1216,1533,0.21623298525810242,0.9997767806053162,0.9997739195823669,1467,680,0.09907334297895432,0.26932868361473083,0.9990397095680237,1579,1603,0.09291441738605499,0.4088117182254791,0.9977278113365173,1435,635,-0.1951821893453598,0.26897239685058594,0.9996874332427979,1833,1674,-0.06302794814109802,0.19826580584049225,0.9973694086074829,1435,614,-0.2525917887687683,0.37344470620155334,0.9992948770523071,1910,1716,-0.10407786816358566,0.24804532527923584,0.9949158430099487,1385,643,-0.25985053181648254,0.41239064931869507,0.9994663596153259,1892,1690,-0.12531109154224396,0.25085219740867615,0.9952157735824585,1394,670,-0.20690616965293884,0.38104453682899475,0.9996775388717651,1866,1656,-0.07785985618829727,0.24344691634178162,0.9976612329483032,1890,1048,0.012099618092179298,0.9998247027397156,0.999984860420227,1871,1369,-0.012666062451899052,0.9997861981391907,0.9999778270721436,2295,1155,-0.12353577464818954,0.5371951460838318,0.9999428987503052,2294,1567,-0.13917666673660278,0.4019971489906311,0.9998555183410645,2940,1205,-0.0033944295719265938,0.5096158385276794,0.9990372657775879,2899,1580,-0.03661954775452614,0.4293872117996216,0.99626225233078,3047,1242,0.0012021147413179278,0.5642449855804443,0.9963372945785522,2995,1541,-0.03198821842670441,0.3361701965332031,0.9935274720191956,3141,1133,-0.15169526636600494,0.5143125057220459,0.9862297773361206,3102,1637,-0.18667401373386383,0.32826095819473267,0.9567110538482666,1204,1208,None,None,None,None,None,None,None,None,185,232,42.33,nan,nan,nan,nan,42.33
False,/data/uabcvmsc/shared/newborn/49/27.11.24-28.11.24/HM20241127180148.jpeg,43.4,33.8,924,1215,-0.057479411363601685,0.09445365518331528,0.9158957004547119,871,1195,-0.040392015129327774,0.0396186038851738,0.8127732872962952,867,1178,-0.04072076827287674,0.02895907498896122,0.8212827444076538,865,1160,-0.0406661219894886,0.04663651064038277,0.7510486245155334,866,1223,-0.04348849877715111,0.07056555896997452,0.8371925950050354,873,1261,-0.043793320655822754,0.07142516225576401,0.8640177249908447,872,1278,-0.044053442776203156,0.13175977766513824,0.8467879295349121,862,1130,0.034372225403785706,0.03840077668428421,0.8226690888404846,867,1301,0.023997901007533073,0.047102365642786026,0.8598952889442444,956,1183,-0.027362558990716934,0.04383162409067154,0.9314062595367432,962,1237,-0.032289162278175354,0.0458640530705452,0.8555219769477844,1048,969,0.04633833467960358,0.9979833364486694,0.9971520900726318,969,1437,0.017109261825680733,0.9949741363525391,0.9949206709861755,1350,938,-0.10161910206079483,0.00028848182410001755,0.9525216817855835,1287,1615,-0.08487926423549652,0.000743442156817764,0.9805178642272949,1477,982,-0.30684399604797363,0.0004175222711637616,0.9701152443885803,1241,1913,-0.23428882658481598,0.011630690656602383,0.9992666840553284,1510,973,-0.3421763777732849,0.001015825429931283,0.9557356238365173,1209,1921,-0.27062517404556274,0.022664425894618034,0.9989845156669617,1470,992,-0.35125038027763367,0.0011130202328786254,0.9668715000152588,1117,1965,-0.2919085919857025,0.025425270199775696,0.9991822838783264,1453,1015,-0.31596696376800537,0.001106424257159233,0.9781971573829651,1190,1886,-0.2490660548210144,0.01815875805914402,0.9996020197868347,1411,1161,0.01782517321407795,0.9895457625389099,0.999617338180542,1322,1400,-0.018402809277176857,0.9881315231323242,0.9995772242546082,1464,938,0.16936689615249634,0.00011383968376321718,0.9979027509689331,1247,1615,0.011115758679807186,0.00012400344712659717,0.9988994598388672,1540,1021,0.2749342918395996,0.00027134004631079733,0.9965575933456421,1203,1666,0.11692684888839722,7.198104140115902e-05,0.9938257932662964,1593,1082,0.2819940149784088,0.001835974515415728,0.9916008710861206,1253,1651,0.12873128056526184,0.0003661065420601517,0.9941598176956177,1509,898,0.23378300666809082,0.0003262895334046334,0.9940080642700195,1121,1725,0.09361241012811661,8.226368663599715e-05,0.9925083518028259
False,/data/uabcvmsc/shared/newborn/49/27.11.24-28.11.24/HM20241127180249.jpeg,42.9,33.6
False,/data/uabcvmsc/shared/newborn/49/27.11.24-28.11.24/HM20241127180350.jpeg,43.1,33.5,934,1729,0.3321574032306671,0.9999406337738037,0.9999998807907104,945,1718,0.35702934861183167,0.9999518394470215,0.9999998807907104,952,1713,0.35696935653686523,0.9999270439147949,0.9999998807907104,962,1706,0.35691890120506287,0.9999542236328125,0.9999997615814209,927,1734,0.36214879155158997,0.9999727010726929,0.9999998807907104,924,1739,0.3618803024291992,0.9999644756317139,0.9999998807907104,916,1747,0.3618292808532715,0.9999805688858032,0.9999998807907104,999,1692,0.40074095129966736,0.9998307228088379,0.9999996423721313,929,1779,0.42349860072135925,0.9998070597648621,0.9999996423721313,965,1735,0.34526216983795166,0.9985296726226807,0.9999947547912598,944,1755,0.3501870334148407,0.9984344840049744,0.9999915361404419,1087,1744,0.3118287920951843,0.9997709393501282,0.9999359846115112,960,1824,0.36683231592178345,0.9998688697814941,0.999971866607666,992,1771,0.27924713492393494,0.0023915341589599848,0.999504566192627,750,1652,0.3092609643936157,0.023810377344489098,0.9999834299087524,939,1763,0.3381316363811493,0.0010381977772340178,0.9996650218963623,742,1625,0.3349325656890869,0.012598038651049137,0.9999008178710938,926,1758,0.3469181954860687,0.0025484736543148756,0.9992446899414062,728,1621,0.3327964246273041,0.012583201751112938,0.9996106028556824,926,1754,0.34835565090179443,0.0023415556643158197,0.9990918636322021,766,1630,0.3476554751396179,0.010977283120155334,0.9996283054351807,930,1755,0.3411666750907898,0.0026859345380216837,0.9994774460792542,772,1632,0.33779773116111755,0.014227635227143764,0.9998095631599426,1269,1953,-0.03395462781190872,0.9998670816421509,0.9999947547912598,1181,2002,0.033152006566524506,0.9999412298202515,0.9999974966049194,1099,2051,-0.13829319179058075,0.19187286496162415,0.9999775886535645,1004,2009,-0.0002598194405436516,0.04597999155521393,0.9999898672103882,1118,2065,-0.2132994681596756,0.004596531391143799,0.9998831748962402,959,1898,-0.15114116668701172,0.003282932797446847,0.999875545501709,1155,2074,-0.22067362070083618,0.1153642013669014,0.9995542168617249,995,1900,-0.16686277091503143,0.09497910737991333,0.9998182654380798,1033,2079,-0.26387283205986023,0.04921051114797592,0.9994838237762451,859,1847,-0.2099473774433136,0.04803109169006348,0.9995835423469543
True,/data/uabcvmsc/shared/newborn/49/27.11.24-28.11.24/HM20241127180452.jpeg,42.8,33.5,875,1225,-0.08301296830177307,0.999970555305481,0.9999948740005493,852,1174,-0.043113045394420624,0.9999281167984009,0.9999855756759644,858,1159,-0.04341050982475281,0.999889612197876,0.9999842643737793,866,1122,-0.043421607464551926,0.9999184608459473,0.9999750852584839,840,1247,-0.05173410102725029,0.9999716281890869,0.9999853372573853,844,1298,-0.0521002821624279,0.9999681711196899,0.9999868869781494,846,1312,-0.052231140434741974,0.9999790191650391,0.9999818801879883,917,1100,0.1254962980747223,0.9998890161514282,0.9999721050262451,895,1347,0.08671852201223373,0.9999301433563232,0.9999762773513794,952,1185,-0.020583773031830788,0.9998739957809448,0.9999790191650391,940,1288,-0.03471134975552559,0.9999210834503174,0.9999730587005615,1227,941,0.14619433879852295,0.9998883008956909,0.9999455213546753,1300,1643,0.07963501662015915,0.9999446868896484,0.9999607801437378,1453,720,-0.026146145537495613,0.5591813921928406,0.9997134804725647,1659,1784,-0.07103261351585388,0.6682314872741699,0.9997401833534241,1425,471,-0.3510785698890686,0.28939560055732727,0.999171257019043,1987,1750,-0.3057476282119751,0.5723764300346375,0.99979168176651,1462,350,-0.4177730679512024,0.34630492329597473,0.9961761236190796,2098,1786,-0.36670488119125366,0.5530796051025391,0.999106228351593,1432,386,-0.4495677947998047,0.38662296533584595,0.9970692992210388,2077,1733,-0.3999529480934143,0.5734959840774536,0.9992926120758057,1437,441,-0.3748430609703064,0.40558305382728577,0.9986756443977356,2044,1705,-0.3277607560157776,0.5731594562530518,0.9997139573097229,2043,1090,0.02088737301528454,0.9999537467956543,0.9999958276748657,2095,1447,-0.021314341574907303,0.9999536275863647,0.9999955892562866,2500,834,-0.1630668193101883,0.438027560710907,0.9997923970222473,2619,1396,-0.18322329223155975,0.29922786355018616,0.9998490810394287,3047,812,-0.020037585869431496,0.24120624363422394,0.9985657334327698,3029,1016,0.035146161913871765,0.1571969985961914,0.9988471269607544,3138,840,-0.01340330671519041,0.24389846622943878,0.9959865212440491,3090,948,0.05415833741426468,0.156224325299263,0.9982898831367493,3252,743,-0.1708541065454483,0.22463852167129517,0.9900298714637756,3195,921,-0.08256933838129044,0.12464890629053116,0.9936510920524597,1264,1292,None,None,None,None,None,None,None,None,202,256,42.33,nan,nan,nan,nan,42.33
False,/data/uabcvmsc/shared/newborn/49/27.11.24-28.11.24/HM20241127180553.jpeg,42.6,32.8
True,/data/uabcvmsc/shared/newborn/49/27.11.24-28.11.24/HM20241127180654.jpeg,42.7,33.3,1065,1177,-0.3383116126060486,0.9998455047607422,0.9999308586120605,1042,1153,-0.2912285625934601,0.9995015859603882,0.9998981952667236,1048,1132,-0.29178380966186523,0.9995357990264893,0.9999110698699951,1057,1100,-0.29179173707962036,0.9995818734169006,0.9998705387115479,1030,1225,-0.3051040768623352,0.9996551275253296,0.9998149275779724,1031,1264,-0.3055509626865387,0.9997005462646484,0.9997954964637756,1035,1299,-0.30581149458885193,0.9996174573898315,0.9996416568756104,1118,1084,-0.061597391963005066,0.9996652603149414,0.9998782873153687,1079,1407,-0.12269285321235657,0.9988424181938171,0.9992765784263611,1135,1164,-0.24974937736988068,0.9984551668167114,0.9995428323745728,1130,1249,-0.271092027425766,0.9978160858154297,0.9986201524734497,1444,946,0.0026640717405825853,0.9990755319595337,0.9990459084510803,1397,1690,-0.0686076357960701,0.9913346171379089,0.9796127080917358,1590,621,-0.18371762335300446,0.4857257008552551,0.9897375702857971,1538,1842,-0.39898431301116943,0.11771498620510101,0.85491544008255,1360,418,-0.5514860153198242,0.3356805741786957,0.9768039584159851,1173,2034,-0.8227608799934387,0.08816386014223099,0.8757854700088501,1408,329,-0.6269816160202026,0.4461756944656372,0.9295953512191772,1165,2090,-0.9215221405029297,0.14762888848781586,0.8194036483764648,1337,384,-0.6589029431343079,0.502007782459259,0.9440473318099976,1111,2052,-0.9356339573860168,0.16259318590164185,0.8770394921302795,1349,430,-0.5770093202590942,0.48609042167663574,0.9646238088607788,1147,2007,-0.8462497591972351,0.17632818222045898,0.9243867993354797,2380,1152,0.02196197398006916,0.9864698052406311,0.990522563457489,2348,1620,-0.022350789979100227,0.970896303653717,0.9717766046524048,2978,1063,-0.13710583746433258,0.028886524960398674,0.8811368942260742,2975,1662,-0.17021015286445618,0.012698102742433548,0.6551396250724792,3621,1172,-0.0023359276819974184,0.025446807965636253,0.5122447609901428,3623,1645,0.15653501451015472,0.009986931458115578,0.237752765417099,3740,1221,-0.0029027056880295277,0.036325596272945404,0.3143017590045929,3740,1609,0.18097975850105286,0.016618546098470688,0.2589394748210907,3807,1141,-0.20651008188724518,0.022531678900122643,0.34339267015457153,3823,1711,0.021928047761321068,0.006490216124802828,0.23195591568946838,1420,1318,None,None,None,None,None,None,None,None,245,264,42.22,nan,nan,nan,nan,42.22
True,/data/uabcvmsc/shared/newborn/49/27.11.24-28.11.24/HM20241127180755.jpeg,44.0,33.8,1026,1045,-0.3959101140499115,0.9999905824661255,0.9999954700469971,987,1028,-0.33140790462493896,0.9999579191207886,0.9999876022338867,995,999,-0.3318806290626526,0.9999483823776245,0.999984622001648,1004,968,-0.3318255543708801,0.9999457597732544,0.9999696016311646,980,1141,-0.34730714559555054,0.9999849796295166,0.9999879598617554,986,1202,-0.3477364778518677,0.9999858140945435,0.9999879598617554,997,1269,-0.3479941785335541,0.9999854564666748,0.9999806880950928,1095,956,-0.054706014692783356,0.9999395608901978,0.9999585151672363,1087,1387,-0.1247078999876976,0.9999617338180542,0.999966025352478,1131,995,-0.29388147592544556,0.9997615218162537,0.999900221824646,1154,1146,-0.31814828515052795,0.9998229146003723,0.9998599290847778,1502,809,0.00505780428647995,0.9988794922828674,0.9987733960151672,1529,1630,-0.04157697409391403,0.9984599351882935,0.9983534812927246,1665,465,-0.19219817221164703,0.5859116315841675,0.9874047040939331,1834,1948,-0.24184711277484894,0.3925381004810333,0.9894213676452637,1242,461,-0.4594436585903168,0.5897842645645142,0.997624933719635,1546,2025,-0.49876508116722107,0.877225399017334,0.9996634721755981,1092,437,-0.5126329660415649,0.6211817860603333,0.9925121068954468,1444,2167,-0.5657082796096802,0.8975766897201538,0.9992150068283081,1069,485,-0.5097804069519043,0.6290770769119263,0.9947933554649353,1410,2066,-0.5743976831436157,0.9004487991333008,0.999566376209259,1124,498,-0.466240257024765,0.6037966012954712,0.9971925616264343,1444,1997,-0.5139796137809753,0.8953410387039185,0.9997966885566711,2552,1033,0.021391667425632477,0.9734415411949158,0.9879539012908936,2506,1555,-0.021737201139330864,0.9704762101173401,0.989941418170929,3158,980,-0.0018650679849088192,0.008072683587670326,0.7767744660377502,3037,1718,-0.2218581736087799,0.009001770056784153,0.8418068885803223,3789,1047,0.18573078513145447,0.005172785837203264,0.2997053563594818,3689,1748,0.05099966749548912,0.004892824683338404,0.3488207161426544,3911,1070,0.19392547011375427,0.009870059788227081,0.15588197112083435,3817,1709,0.07423300296068192,0.010499004274606705,0.31337788701057434,3976,1090,0.05725077539682388,0.005248203407973051,0.2653311491012573,3890,1840,-0.038485731929540634,0.0034845962654799223,0.26085489988327026,1516,1220,1461,2064,None,None,None,None,None,None,272,235,43.48,nan,nan,nan,nan,43.48
